anime_id,review_id,date,score,tags
1,7406,2008-08-24T05:46:00+00:00,10,Recommended
1,104803,2013-07-10T21:00:00+00:00,7,Recommended
1,37906,2011-06-15T10:06:00+00:00,6,Mixed Feelings
1,11943,2009-01-30T05:53:00+00:00,9,Recommended
1,127443,2014-01-05T22:39:00+00:00,10,Recommended
1,1,2006-11-07T18:34:00+00:00,10,Recommended
1,38287,2011-06-25T09:35:00+00:00,10,Recommended
1,31025,2010-10-03T09:19:00+00:00,7,Recommended
1,174007,2014-12-24T06:47:00+00:00,4,Not Recommended
1,144725,2014-05-27T11:29:00+00:00,8,Recommended
1,25239,2010-04-20T03:37:00+00:00,9,Recommended
1,343,2007-06-03T16:49:00+00:00,10,Recommended
1,293082,2018-10-31T14:36:00+00:00,3,Not Recommended
1,89003,2013-03-07T18:09:00+00:00,10,Recommended
1,168223,2014-11-11T12:45:00+00:00,10,Recommended
1,5759,2008-06-24T09:24:00+00:00,8,Recommended
1,27219,2010-06-16T04:14:00+00:00,5,Mixed Feelings
1,318878,2019-10-01T17:23:00+00:00,4,Not Recommended
1,104793,2013-07-10T18:06:00+00:00,10,Recommended
1,106233,2013-07-21T10:39:00+00:00,10,Recommended
1,782,2007-08-31T08:57:00+00:00,8,Recommended
1,165987,2014-10-24T03:51:00+00:00,8,Recommended
1,16217,2009-06-28T04:49:00+00:00,10,Recommended
1,85109,2013-01-28T07:22:00+00:00,6,Mixed Feelings
1,193841,2015-07-19T13:43:00+00:00,10,Recommended
1,169797,2014-11-24T16:24:00+00:00,7,Recommended
1,5059,2008-05-27T22:34:00+00:00,10,Recommended
1,3650,2008-04-05T17:32:00+00:00,8,Recommended
1,8635,2008-10-12T08:10:00+00:00,9,Recommended
1,224482,2016-07-20T09:45:00+00:00,9,Recommended
1,193244,2015-07-12T17:52:00+00:00,8,Recommended
1,5740,2008-06-23T22:59:00+00:00,10,Recommended
1,38430,2011-06-28T13:03:00+00:00,7,Recommended
1,228378,2016-09-05T08:58:00+00:00,9,Recommended
1,71689,2012-09-06T12:05:00+00:00,10,Recommended
1,289045,2018-09-15T01:46:00+00:00,6,Mixed Feelings
1,475299,2023-03-10T03:36:00+00:00,6,Mixed Feelings
1,158285,2014-08-28T13:46:00+00:00,10,Recommended
1,486927,2023-06-15T12:58:00+00:00,6,Not Recommended
1,179635,2015-02-03T20:04:00+00:00,9,Recommended
1,154045,2014-07-28T03:35:00+00:00,10,Recommended
1,199269,2015-09-22T18:54:00+00:00,10,Recommended
1,224003,2016-07-14T10:10:00+00:00,9,Recommended
1,203427,2015-11-15T12:01:00+00:00,10,Recommended
1,18642,2009-09-12T15:24:00+00:00,10,Recommended
1,455994,2022-08-23T03:49:00+00:00,9,Recommended
1,210097,2016-02-04T11:02:00+00:00,9,Recommended
